iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
190,8391.0,8851,8419.0,8851,0.049,,
191,8390.0,10036,8419.0,8851,0.049,,
192,8402.0,11015,8419.0,8851,0.049,,
193,8409.0,9110,8419.0,8851,0.049,,
194,8410.5,9868,8419.0,8851,0.049,,
195,8412.0,9792,8419.0,8851,0.049,,
196,8416.5,9968,8419.0,8851,0.049,,
197,8414.0,9854,8419.0,8851,0.049,_87_99,
198,8415.5,10256,8419.0,8851,0.049,,
199,8408.0,9183,8419.0,8851,0.049,,
Running time: 425.89 sec
